,basin_id,discharge_coverage,unique_discharge_count
547,02HK012,0.6511524258245257,1
548,02HK014,0.6348529224500191,1
549,02HK015,0.3895963326117407,1083
550,02HK016,0.3895963326117407,982
551,02HK017,0.3895963326117407,1474
552,02HK802,0.6511524258245257,1
553,02HK902,0.697631478415892,1
554,02HL001,1.0,1599
555,02HL003,1.0,1592
556,02HL004,1.0,1746
557,02HL005,1.0,1537
558,02HL006,0.8867948554692474,1
559,02HL007,0.4786069018209601,1624
560,02HL008,0.3895963326117407,1656
561,02HL101,0.0,1
562,02HL102,0.0,1
563,02HL103,0.0,1
564,02HL104,0.0,1
565,02HM001,0.0,1
566,02HM002,1.0,1236
567,02HM003,1.0,1730
568,02HM004,1.0,1487
569,02HM005,1.0,1602
570,02HM006,1.0,1466
571,02HM007,1.0,1514
572,02HM009,0.7906532535336814,591
573,02HM010,0.4772061632497135,1631
574,02HM011,0.3953266267668407,1189
575,02MA001,0.3830383293009041,2504
576,02MA002,0.0,1
577,03115973,0.7268559786069019,902
578,04014500,0.0,1
579,04015330,1.0,1711
580,04015500,0.0,1
581,04016000,0.0,1
582,04016500,0.0,1
583,04018750,0.0,1
584,04021520,0.4093340124793073,1597
585,04024000,1.0,1311
586,04024098,0.0,1
587,04024430,1.0,1447
588,04025500,1.0,382
589,04027000,1.0,1155
590,04027500,1.0,694
591,04029990,0.8430536100853178,239
592,04031000,1.0,1527
593,04031500,0.0,1
594,04032000,0.2675410671081115,1915
595,04033000,1.0,842
596,04034500,1.0,170
597,04035500,0.0,1
598,04036000,1.0,1215
599,04037500,1.0,1168
600,04039500,0.246275308799185,309
601,04040000,1.0,1149
602,04040500,1.0,1464
603,04041500,1.0,1008
604,04043050,1.0,1031
605,04043140,0.3547052082006876,455
606,04043150,0.4942060359098433,1257
607,04043238,0.4205399210492805,764
608,04043244,0.401184260792054,498
609,04043275,0.4205399210492805,871
610,04044400,0.0,1
611,04044724,0.6802495861454221,758
612,04045500,1.0,1111
613,04046000,0.6570100598497389,980
614,04056500,1.0,1038
615,04057000,0.7073729784795619,1
616,04057510,1.0,1622
617,04057800,1.0,1328
618,04058100,1.0,990
619,04058200,1.0,1089
620,04058500,0.0,1
621,04059000,1.0,1086
622,04059500,1.0,1462
623,04060500,1.0,869
624,04060993,1.0,754
625,04061000,0.0,1
626,04061500,0.0,1
627,04062000,1.0,575
628,04062011,0.7732713612632115,899
629,04062200,0.5174455622055265,254
630,04062500,1.0,947
631,04063000,1.0,775
632,04063500,1.0,562
633,04063700,1.0,1211
634,04064500,0.6140328536864892,939
635,04065106,0.7034891124411053,735
636,04065300,0.0,1
637,04065500,0.0,1
638,04065722,0.8159302177511779,785
639,04066003,0.9361390551381638,794
640,04066030,0.5639882847319496,777
641,04066500,0.5252132942824398,790
642,04066800,1.0,831
643,04067000,0.0,1
644,04067500,1.0,833
645,04067958,0.5717560168088629,856
646,04069416,0.5717560168088629,992
647,04069500,1.0,1018
648,04071000,1.0,904
649,04071765,0.7965108875588947,1010
650,04071858,0.0,1
651,04072150,0.8062523876225646,2759
652,04072845,0.3547688781357443,162
653,04073462,0.9554310454603336,903
654,04073473,0.6084935693365593,4110
655,04073500,1.0,838
656,04073970,0.3547052082006876,195
657,04074538,0.0,1
658,04074548,0.947726983318477,1
659,04074950,0.98261810772953,826
660,04077400,0.8663568063160576,1
661,04077630,0.7034891124411053,612
662,04078500,1.0,938
663,04079000,1.0,837
664,04080000,0.9361390551381638,835
665,04081000,0.9361390551381638,467
666,04082400,0.7064815993887686,1022
667,04084500,1.0,567
668,04085119,0.750095504902585,1
669,040851325,0.448109002928817,661
670,04085200,1.0,1303
671,04085281,0.0,1
672,04085427,1.0,1471
673,04086000,1.0,1298
674,04086500,1.0,1282
675,04086600,0.9573411435120336,1114
676,04087000,1.0,1138
677,04087030,1.0,1545
678,04087050,0.99980899019483,1207
679,04087070,0.436075385203107,1527
680,04087088,0.9884120718196868,1377
681,04087119,0.99942697058449,1299
682,04087120,1.0,1414
683,040871488,0.6049917229084426,2063
684,04087159,0.9360753852031072,1399
685,04087204,1.0,1557
686,04087214,0.436075385203107,1389
687,04087220,1.0,1554
688,04087240,1.0,1699
689,04087257,1.0,1550
690,04093000,1.0,1399
