basin_id,mean_discharge,median_discharge,discharge_coverage,area,mean_discharge_area_ratio,median_discharge_area_ratio
02ED019,0.14248603213844252,0.094,0.25169560077157616,19.80024027958915,0.007196176921414565,0.004747417135987931
02ED024,3.4101549404669864,2.12,0.8048036836537863,243.6728894448821,0.013994806513911967,0.008700188210636114
02ED025,0.3155307621671258,0.086,0.06776180698151951,28.49348490209571,0.01107378627961083,0.0030182338276801886
02ED026,1.8938665680946292,1.29,0.7785452056499285,175.0231440598477,0.010820663622903707,0.007370453815861606
02ED027,27.3591559714795,19.6,0.6981519507186859,2678.3343435966926,0.010214989042308782,0.007317981060452472
02ED028,0.3541231295425395,0.263,0.14554165888868148,24.187239812104863,0.014640907035837687,0.010873501980510309
02ED029,3.6602958019621266,1.95,0.5454545454545454,475.9749246159938,0.007690102172746124,0.004096854475208368
02ED030,0.1838700943109218,0.145,0.40905979715014623,10.498532798764048,0.01751388482898945,0.01381145373161765
02ED031,1.201141502159161,0.814,0.40345964781283056,68.68180395155602,0.017488496705857833,0.011851756261005406
02ED032,2.557490438001234,2.01,0.40345964781283056,230.3199300853433,0.011104077867050305,0.008726991186803547
02ED100,0.5428033725343787,0.4149827586206897,1.0,74.43283989468202,0.007292525359806407,0.00557526434847663
02ED101,3.2205957813609167,2.29,0.6135896957252194,327.9088298297001,0.00982161957344527,0.006983648476893149
02ED102,2.2241276834048906,1.77,1.0,217.18170536345795,0.010240861124479929,0.00814985772875238
02FA001,15.031323128616764,10.2,1.0,910.5083740631544,0.016508714863916415,0.011202532882242893
02FA002,1.197753285580816,0.562,0.9990044178955884,62.0031286074139,0.019317626585662277,0.009064058743848613
02FA004,5.290076698238864,2.98,0.8408935349387094,311.7858371921402,0.016967020522419746,0.009557842738583261
02FB001,,,0.0,271.8029096811278,,
02FB003,,,0.0,272.35793035828704,,
02FB004,,,0.0,88.13325410453628,,
02FB005,,,0.0,340.21430581154027,,
02FB006,,,0.0,99.9897758778695,,
02FB007,3.3162489577499845,2.23,1.0,188.40307500737197,0.017601883396118796,0.011836324857822746
02FB008,,,0.0,191.99516320069975,,
02FB009,9.390684462696782,6.91,1.0,585.1849654194469,0.01604737820966702,0.01180823228267164
02FB010,5.21257992657582,3.21,1.0,290.8479457558792,0.01792201046161404,0.011036694763848484
02FB012,1.769238278840222,1.18,0.40345964781283056,104.41668352964986,0.016944019088078334,0.011300876067998565
02FB013,4.398301202961135,3.9,0.40345964781283056,277.76826665810927,0.015834426501911317,0.014040480746493299
02FB014,1.053902143738433,0.773,0.40345964781283056,53.96332603685953,0.019529970095219253,0.014324543292087002
02FC001,63.31902744073176,39.8,1.0,3953.2073351977983,0.01601712788422811,0.010067774499363214
02FC002,33.90795416329326,22.4,0.9991288656586398,2130.4167031254838,0.01591611355353519,0.010514374942300016
02FC004,,,0.0,224.7420842199892,,
02FC005,,,0.0,83.00505732900952,,
02FC009,,,0.0,10.204584771718729,,
02FC011,2.117068072926389,1.1784316959483685,1.0,156.7146689088507,0.013509061325699704,0.007519600457017682
02FC012,19.666615767531578,5.78,1.0,612.2855335306859,0.032120007236045446,0.009440040117672197
02FC013,4.6167780497756015,3.5,0.1525107336195632,261.1310295091437,0.01767992895541333,0.013403232877299422
02FC014,,,0.0,368.6287005712561,,
02FC015,13.077208512226992,7.57,1.0,667.3578029389251,0.019595498029149117,0.011343240412658795
02FC016,9.462342791363325,3.48,1.0,310.3511453770423,0.0304891505390374,0.01121310506449778
02FC017,1.396617539191716,0.644,0.8652852964967954,48.479728310827454,0.028808279003490117,0.013283902827816985
02FC018,3.394894789081886,2.76,0.1253811212743451,219.40310061912223,0.01547332184231676,0.012579585211930455
02FC019,1.252768436578171,0.93,0.042187791674444655,76.65090604528757,0.016343817721319553,0.012132928989130659
02FC020,1.9885090993214063,1.26,0.40345964781283056,122.43391361158692,0.016241489311775274,0.010291266225445201
02FC021,1.633510333127699,1.29,0.40345964781283056,108.7358452310097,0.01502274001418116,0.011863613119108884
02FD001,1.913167704530814,0.32,0.8693298487959679,153.90309950724526,0.012430988788765416,0.0020792303795345943
02FD002,1.7486324435318275,0.916,1.0,69.4342691878374,0.02518399723919223,0.01319233298937714
02FD003,1.6135401889723013,0.506,0.4807417086677867,102.86006161301567,0.01568675114198189,0.00491930485034798
02FE001,,,0.0,2539.835389396297,,
02FE002,23.79972621492129,12.3,1.0,1641.2396651345537,0.01450106691941918,0.007494335081763705
