basin_id,NSE
04213075,-2.322000993964556
04213500,-0.6273432243024746
04214500,-0.4015503258960149
04215000,-0.2817552617715424
04215500,-0.40708493514301836
04216200,
04216418,-0.3870599347366377
04216500,
04217000,-0.48515365925254916
04217500,
04218000,-0.6775240657776853
04218518,-0.6252190237848485
04220250,
0422026250,-0.07155022405429756
04221000,-0.6021660405310496
04223000,-0.6238392081541286
04224775,-0.4447708451494512
04227000,-0.7001428277387176
04227500,-1.1329802056341296
04227995,-0.3486438027365515
04228500,-1.201194007821869
04229500,-0.4556603657883229
04230380,-0.2376956054671706
04230500,-0.7117822652157899
04231000,-0.47008979927350913
04231600,-1.2749166309279483
04232000,
04232034,-0.681519179793622
04232050,-0.0771358484980762
0423205010,-0.9465194927978209
04232100,-0.1185450943608295
04232482,-0.6071657206284222
04233000,
04233286,-0.13800103993921975
04233300,-0.27633265228836823
04234000,-0.6299052950281336
0423401815,-0.3601137981301368
04235250,-0.36153552553771107
04235500,
04237500,-2.353411494045072
04237962,-0.5157339859794823
04239000,-0.9728573361687718
04240010,-1.3200457010878863
04240100,-1.058798356738778
04240120,-0.20599412100807046
04240180,-0.8096710599032197
04240200,
04240300,-1.466620013789262
04240503,
04242500,-0.6900358015758778
04243500,-0.6521713867369445
04245000,
04245200,
04246500,
04247000,-2.1364020579500305
04249000,-2.2471385206054615
04250200,-1.422624196079758
04250750,-0.48633253531527276
04252500,-1.0482282442887962
04256000,-0.804031971029181
04257000,
04258000,-3.7936662929765816
04260500,-1.6878060974550206
04263000,-1.2478580070735017
05535070,0.018987093743536465
