basin_id,discharge_coverage
02GD023,0.8312110021647778
02GD025,0.7977206163249714
02GD026,0.6743919521202089
02GD027,0.47147586909461353
02GD028,0.47045715013370687
02GE001,0.0
02GE002,1.0
02GE003,1.0
02GE005,1.0
02GE006,1.0
02GE007,1.0
02GE008,0.4696294409779702
02GE009,0.08729148096268942
02GG002,1.0
02GG003,0.9069782248822106
02GG004,1.0
02GG005,1.0
02GG006,1.0
02GG007,1.0
02GG009,0.9691200814975168
02GG013,0.38959633261174076
02GH001,1.0
02GH002,1.0
02GH003,1.0
02GH004,0.9487457022793837
02GH011,0.9302177511778938
02GH016,0.13389787342416912
02HA006,1.0
02HA007,1.0
02HA014,1.0
02HA020,0.8371959760601044
02HA022,0.7906532535336814
02HA023,0.7906532535336814
02HA024,0.7977206163249714
02HA026,0.6915828345855087
02HA027,0.744174200942315
02HA028,0.7115115242582453
02HA029,0.703361772570992
02HA030,0.38959633261174076
02HA031,0.38959633261174076
02HA032,0.16280402393989557
02HB001,1.0
02HB002,1.0
02HB004,1.0
02HB005,1.0
02HB006,0.0
02HB007,0.8867311855341907
02HB008,1.0
02HB010,1.0
02HB011,1.0
02HB012,1.0
02HB013,1.0
02HB015,1.0
02HB016,1.0
02HB018,0.9383038329300905
02HB019,0.9244874570227939
02HB020,0.9244874570227939
02HB021,0.8465554565134343
02HB022,0.7780466063924615
02HB023,0.8345218387877245
02HB024,0.8324844008659111
02HB025,0.794919139182478
02HB026,0.5926397555074494
02HB027,0.4807080096778301
02HB028,0.38959633261174076
02HB029,0.38959633261174076
02HB030,0.38959633261174076
02HB031,0.38959633261174076
02HB032,0.38959633261174076
02HB033,0.1586018082261556
02HB034,0.0
02HC002,0.0
02HC003,1.0
02HC004,0.0
02HC005,1.0
02HC006,0.9991722908442633
02HC007,0.0
02HC008,0.0
02HC009,1.0
02HC010,0.0
02HC011,0.0
02HC012,1.0
02HC013,1.0
02HC014,0.0
02HC015,0.0
02HC017,1.0
02HC018,1.0
02HC019,1.0
02HC022,1.0
02HC023,1.0
02HC024,1.0
02HC025,1.0
02HC026,1.0
02HC027,1.0
02HC028,1.0
02HC029,1.0
02HC030,1.0
02HC031,1.0
02HC032,1.0
02HC033,1.0
02HC034,1.0
02HC035,1.0
02HC036,0.0
02HC037,0.0
02HC038,1.0
02HC039,1.0
02HC040,0.0
02HC060,0.0
02HC105,0.0
02HC106,0.0
02HC114,0.9936966764293901
02HD001,0.0
02HD002,0.0
02HD003,1.0
02HD004,1.0
02HD006,1.0
02HD007,1.0
02HD008,1.0
02HD009,1.0
02HD010,1.0
02HD012,1.0
02HD013,0.9884120718196867
02HD014,0.9884120718196867
02HD018,0.4758690946135235
02HD019,0.48083534954794344
02HD020,0.38959633261174076
02HD021,0.38959633261174076
02HD022,0.38959633261174076
02HD023,0.38959633261174076
02HD024,0.15758308926524894
02HE001,1.0
02HE002,1.0
02HE003,0.0
02HE004,0.3941805679358207
02HF002,1.0
02HF003,1.0
02HF004,1.0
02HF005,0.03680122246275309
02HG001,0.9375397937094104
02HG002,0.697631478415892
02HG003,0.38959633261174076
02HH001,1.0
02HH002,1.0
02HH003,0.43257353877499044
02HJ001,1.0
02HJ002,1.0
02HJ003,1.0
02HJ005,0.4807716796128868
02HJ006,0.38959633261174076
02HJ007,0.38959633261174076
02HK002,1.0
02HK003,1.0
02HK004,1.0
02HK005,1.0
02HK006,1.0
02HK007,0.9597606010441869
02HK008,0.9375397937094104
02HK009,0.9200942315038839
02HK010,0.5581306507067363
02HK011,0.697631478415892
02HK012,0.6511524258245257
02HK014,0.6348529224500191
02HK015,0.38959633261174076
02HK016,0.38959633261174076
02HK017,0.38959633261174076
02HK802,0.6511524258245257
02HK902,0.697631478415892
02HL001,1.0
02HL003,1.0
02HL004,1.0
02HL005,1.0
02HL006,0.8867948554692474
02HL007,0.47860690182096016
02HL008,0.38959633261174076
02HL101,0.0
02HL102,0.0
02HL103,0.0
02HL104,0.0
02HM001,0.0
02HM002,1.0
02HM003,1.0
02HM004,1.0
02HM005,1.0
02HM006,1.0
02HM007,1.0
02HM009,0.7906532535336814
02HM010,0.4772061632497135
02HM011,0.3953266267668407
02MA001,0.3830383293009041
02MA002,1.0
03115973,0.7268559786069019
04014500,1.0
04015330,1.0
04015500,1.0
04016000,1.0
04016500,1.0
04018750,1.0
04021520,0.4093340124793073
04024000,1.0
04024098,1.0
04024430,1.0
04025500,1.0
04027000,1.0
04027500,1.0
04029990,0.8430536100853178
04031000,1.0
04031500,1.0
04032000,0.26754106710811154
04033000,1.0
04034500,1.0
04035500,1.0
04036000,1.0
04037500,1.0
04039500,0.24627530879918502
04040000,1.0
04040500,1.0
04041500,1.0
04043050,1.0
04043140,0.3547052082006876
04043150,0.49420603590984336
04043238,0.4205399210492805
04043244,0.401184260792054
04043275,0.4205399210492805
04044400,1.0
04044724,0.6802495861454221
04045500,1.0
04046000,0.6570100598497389
04056500,1.0
04057000,0.7073729784795619
04057510,1.0
04057800,1.0
04058100,1.0
04058200,1.0
04058500,1.0
04059000,1.0
04059500,1.0
04060500,1.0
04060993,1.0
04061000,1.0
04061500,1.0
04062000,1.0
04062011,0.7732713612632115
04062200,0.5174455622055265
04062500,1.0
04063000,1.0
04063500,1.0
04063700,1.0
04064500,0.6140328536864892
04065106,0.7034891124411053
04065300,1.0
04065500,1.0
04065722,0.8159302177511779
04066003,0.9361390551381638
04066030,0.5639882847319496
04066500,0.5252132942824398
04066800,1.0
04067000,1.0
04067500,1.0
04067958,0.5717560168088629
04069416,0.5717560168088629
04069500,1.0
04071000,1.0
04071765,0.7965108875588947
04071858,1.0
04072150,0.8062523876225646
04072845,0.3547688781357443
04073462,0.9554310454603336
04073473,0.6084935693365593
04073500,1.0
04073970,0.3547052082006876
04074538,1.0
04074548,0.947726983318477
04074950,0.9826181077295301
04077400,0.8663568063160576
04077630,0.7034891124411053
04078500,1.0
04079000,1.0
04080000,0.9361390551381638
04081000,0.9361390551381638
04082400,0.7064815993887686
04084500,1.0
04085119,0.750095504902585
040851325,0.448109002928817
04085200,1.0
04085281,1.0
04085427,1.0
04086000,1.0
04086500,1.0
04086600,0.9573411435120336
04087000,1.0
04087030,1.0
04087050,0.99980899019483
04087070,0.43607538520310707
04087088,0.9884120718196867
04087119,0.99942697058449
04087120,1.0
040871488,0.6049917229084426
04087159,0.9360753852031071
04087204,1.0
04087214,0.43607538520310707
04087220,1.0
04087240,1.0
04087257,1.0
04093000,1.0
04094000,1.0
04094500,1.0
04095300,1.0
04095380,0.6214822360881191
04096015,0.6396281675792691
04096100,1.0
04096400,1.0
04096405,1.0
04096515,1.0
04096600,1.0
04096900,1.0
04097500,1.0
04097540,1.0
04099000,1.0
04099510,1.0
04099750,1.0
04099808,1.0
04099850,1.0
04100222,1.0
04100252,1.0
04100295,1.0
04100500,1.0
04101000,1.0
04101370,0.7034891124411053
04101500,1.0
04101800,1.0
04102500,1.0
04102700,1.0
04102776,0.6570100598497389
04103010,0.8430536100853178
04103500,1.0
04104945,0.6570100598497389
04105000,1.0
04105500,1.0
04105700,1.0
04106000,0.8895326626766841
04106180,0.9360753852031071
04106300,1.0
04106320,1.0
04106400,1.0
04106500,1.0
04108500,1.0
04108600,1.0
04108670,0.6686616579651089
04108800,1.0
